Boton,Modulo,Opcion,Detalle,Acción,Estado,Observaciones
Iniciar Gestión,Iniciar Gestion,Iniciar Gestion,"No buscar por númer de presupuesto, sino todos los presupuesto de un cliente",Reparar,Arreglado,
Modificar Gestion,Modificar Gestion,Modificar Gestion,"Sacar combo numero gestion y escribano a cargo, y poner textbox. Fecha de inicio darle formato",Reparar,Arreglado,
Modificar Gestion,Modificar Gestion,Modificar Gestion,jpa.exceptions.IllegalOrphanException: You must retain Historial Historial[ idHistorial=1 ] since its fkIdGestion field is not nullable.,Reparar,Arreglado,
Gestiones,Gestion,Ver Historial Gestion,"Se abren dos ventanas diferentes de ver historial!!!! Ocultar boton buscar, en gestiones, deshabilitar la grilla para edicion",Reparar,Arreglado,
TODOS,Todos,Todos,Tener en cuenta que no se pueda hacer nada mas con una gestion que ya esta archivada!,Reparar,Comenzado,"Arreglado en Modificar gestion, registrar documentacion"
Gestiones,Gestion,Buscar gestion,"hacer metodos que busquen gestiones con un determinado estado, por ejemplo todas las que no esten ARCHIVADAS",Reparar,Arreglado,
Todos,Auditoria,Auditoria,Terminar de implementar en todos lados,Reparar,Comenzado,
Clientes,Modificar Cliente,,"en algunas ocaciones, no muestra el boton ACEPTAR. Habría abrir y cerrar el formulario varias veces para probar",Reparar,Arreglado,
Clientes,Clientes,Todos,"Cuando se trate de mostrar de información, el boton del formulario debería ser CERRAR no ""cancelar"", debido a que lleva a confusion",Mejorar,Arreglado,
Presupuestos,Todos,todos,"Chequear cuando se generan los reportes y en los formularios, limpiar los datos del inmueble.",Reparar,Arreglado,
Gestiones,Iniciar Gestion,,"Si el usuario logueado es ESCRIBANO, debería aparecer por default, en el combo de escribanos disponibles, ese escribano",Reparar,Arreglado,
Documentacion,Registrar documentacion externa,,"En la grilla de documentos muestra el nombre del ""tramite"", no la de los documentos (error). Y debería dejar editar la fecha de ingreso (en realidad todos los campos deberían ser editables).",Reparar,Arreglado,
Gestiones,Modificar Gestion,,No dejar modificar una gestion si la misma ya se encuentra archivada,Reparar,Arreglado,
Gestiones,Testimonios,Verificar testimonio,Cargar fecha de salida del testimonio en la grilla,Reparar,Arreglado,
Administración,Usuarios,Dar de alta usuario,"Poner por default al nuevo usuario como ""Habilitado""",Reparar,Arreglado,
Administración,Escribanos,Registrar suplencias,"La validación de las fechas esta mal, no te deja registrar una suplencia totalmente valida",Reparar,Arreglado,Ahora las suplencias se pueden registrar para cualquier periodo
Gestiones,Gestion,Detalle gestion / ver historial,No muestra el numero de bibliorato,Reparar,Arreglado,
Todos,Todos,Todos,"Carteles de advertencia e información, verificarlos que se muestren los carteles correspondientes",Mejorar,Comenzado,
Presupuesto,crear/modificar presupuesto,Todos,Cambiar la forma en que se pregunta: Esta seguro que desea dejar el valor del ítem en cero?,Mejorar,Arreglado,
Documentacion,n/a,n/a,"Arreglar los casos de uso 17, 18 y 54",Reparar,Arreglado,
Gestiones,Escritura,Preparar escritura,"Agregar DTOTramite en la grilla y comparar por ID de tramite, no por tipo de tramite.",Reparar,Arreglado,
Administración,Todos,Todos,"No cerrar los formulario, así se puede seguir trabajando sobre la pantalla elegida.",Reparar,Comenzado,
Clientes,Lista Personas,,"En la grilla de clientes, el checkbox de la columna “Cliente”,  reemplazarlo por SI o NO, y chequear lo mismo en las grillas no editables (de solo lectura).",Reparar,Arreglado,
Todos,Todos,Todos,Activar los “ENTERS”,Reparar,Arreglado,
Todos,Todos,Todos,"En las busquedas, no permitir el carácter de porcentaje",Reparar,No Aplicable,
Todos,Todos,Todos,"Despues de una advertencia de error, no limpiar ni cerrar el formulario en el que se está trabajando.",Reparar,Comenzado,
Todos,Todos,Todos,Posicionar el cursos en el primer campo correspondiente de los formularios,Reparar,Arreglado,
Todos,Todos,Todos,"En todos los formularios, checkear que esten bien puestos los botones: ACEPTAR, CANCELAR y CERRAR",Reparar,Arreglado,
Todos,Todos,Todos,"Siempre que se llame a una grilla, LIMPIARLA antes, de esta forma evitamos que se dupliquen datos, como en Modificar Personas",Reparar,Arreglado,
Presupuesto,Modificar Presupuesto / Crear Presupuesto,,"Arreglar cuando se agregan y eliminan items, cambiar la validacion y tener en cuenta los valores fijos",Reparar,Arreglado,
Clientes,Dar Alta Persona / Cliente,,"Cambiar el mensaje de “Persona ya existe” por, el numero de documento ya se encuentra registrado",Reparar,Arreglado,
Administración,Modificar Tramite,,Se deshabilita la lista luego de seleccionar un tramite y en otro no.,Reparar,Arreglado,
Clientes,Buscar Gestiones Cliente,,"Cambiar cartel ""no existe la persona"" por ""No existen gestiones asociadas a personas con esas caracteristicas"" o algo asi",Reparar,Arreglado,
Gestiones,Documentacion,Consultar Deudas Documentos,"CU09 - Consultar deudas documentos, el caso de uso dice una cosa, pero el código hace otra, o sea, registra el pago de documentos (hay que modificar el caso de uso), además para el campo fecha (de la grilla), deberías poner un label con un ejemplo que indique cómo se debe poner la fecha, sino es difícil acertarle. Cuando te equivocas en poner la fecha, y das click en el botón ACEPTAR, lanza un NullPointerException. Además, por default te aparece una fecha de pago (cuando en realidad aun no existen pagos registrados)",Reparar,Arreglado,
Gestiones,Documentacion,Lista Documentos,Deshabilitar la grilla para edicion!,Reparar,Arreglado,
Gestiones,Documentacion,Lista Documentos,Cambiar el nombre del boton CANCELAR a CERRA y agregarle el icono,Reparar,Arreglado,
Presupuesto,,Lista Presupuesto Cliente sin gestion,Formatear la fecha de la grilla,Reparar,Arreglado,
Gestiones,Documentacion,Consultar Deudas Documentos,"Agregar al boton imprimir ""Imprimir"" y alinear los labels",Reparar,Arreglado,
